OverallQual,GrLivArea,GarageArea,YearBuilt,TotalBsmtSF
6,1481,343,1994,702
4,960,576,1970,960
4,1040,420,1950,0
4,1040,420,1949,0
7,1802,216,1920,793
8,2610,550,2007,1184
5,1466,528,1959,1466
5,1652,416,1915,686
7,2097,678,1993,1080
8,1625,538,2006,1573
7,2287,667,1953,1304
9,2822,1020,2008,1734
6,2054,390,2000,992
5,1336,375,1953,1165
4,894,400,1954,894
8,1719,473,1993,1719
7,2127,525,1994,1223
6,1251,461,1964,1251
5,912,297,1958,912
3,968,0,1910,600
7,1829,613,2003,941
6,1574,566,1976,796
4,720,0,1920,720
9,1980,770,2004,1980
7,1621,440,1984,1208
6,1602,529,1977,1602
6,1616,216,1926,1149
5,1600,319,1957,1484
6,2119,583,1972,689
7,1709,380,2004,970
7,2110,522,1968,2110
3,774,0,1931,544
4,796,0,1922,796
8,1707,511,1981,1686
8,2161,789,2007,1582
7,1716,512,1996,880
6,1362,504,1961,1362
6,1796,546,1998,794
8,1652,482,2008,1600
7,1482,324,1920,650
5,1015,450,1925,768
6,1578,240,1941,806
5,1086,490,1954,1086
6,1218,0,1971,672
5,860,528,1982,840
4,1140,0,1910,576
7,1502,270,1931,776
6,1165,490,1966,1127
6,1960,440,2002,860
7,2031,541,1998,1153
6,1392,299,1977,689
7,1541,532,2005,1541
5,1327,624,1959,1063
4,1324,240,1936,672
6,1552,434,1975,713
8,2810,750,1990,1453
10,3608,840,1892,1107
5,1328,308,1959,1350
7,2519,628,1989,1210
5,1517,0,1919,793
5,1057,246,1953,1057
8,2132,612,1983,1496
8,1629,808,2002,1616
5,1188,531,1959,1188
8,1464,754,2007,1485
6,1216,402,1998,1216
8,1634,866,2006,1626
5,924,576,1949,672
5,1060,270,1968,1060
6,1548,440,1976,804
2,438,246,1920,290
4,747,220,1945,747
5,892,288,1967,892
5,1190,540,1962,1106
6,1394,514,1963,1394
5,1960,400,1952,960
6,848,420,2003,848
7,1339,484,1990,1309
6,784,360,1928,784
5,948,300,1968,948
5,1178,439,1973,1176
7,1983,490,1999,978
5,1728,560,1976,1728
5,764,504,1925,680
4,988,297,1973,462
6,1224,528,2009,612
6,987,288,1972,483
7,1908,493,1994,915
5,1144,596,1956,1144
6,1032,564,1978,1032
6,2060,521,1988,1151
5,1114,576,2004,1114
6,1724,480,1967,1680
6,1218,264,1972,672
4,841,294,1950,721
8,1088,461,1986,1074
5,864,336,1978,864
8,1826,758,2005,1814
5,1111,288,1920,530
5,912,576,1965,912
8,2270,671,1999,1152
5,923,264,1984,876
5,910,414,1953,105
3,1040,400,1950,0
4,1374,338,1920,840
9,2121,732,2006,2121
7,1959,434,2004,847
5,1539,576,1936,927
5,1268,244,1954,1268
4,960,308,1920,960
5,1097,672,1994,1097
7,1768,320,1914,880
6,1668,271,1950,856
6,1392,576,1968,1392
6,1412,280,1939,780
8,1630,860,2008,1622
7,1241,569,2006,1241
5,768,624,1970,768
6,1640,924,1954,1296
8,1419,567,2007,1419
5,1200,0,1987,1200
7,1479,484,1972,725
6,1414,601,1958,1184
5,1344,513,1916,624
5,2320,672,1948,0
4,788,0,1941,788
6,1441,440,1978,855
6,864,300,1959,864
4,864,528,1971,864
5,1776,888,1958,1584
5,1056,304,1968,1056
1,904,0,1922,683
7,1478,484,2009,1470
3,1605,379,1915,840
7,1790,588,1999,873
5,1868,484,1976,780
6,1218,264,1973,672
10,2084,1220,2007,2078
6,1456,440,1976,855
5,1256,276,1965,1256
6,1509,393,2002,783
6,2320,180,1945,1028
6,2624,864,1918,1370
6,1375,544,1937,780
6,1095,264,1958,588
5,2200,0,1900,1272
7,1494,530,2002,1494
4,1346,384,1910,560
4,990,0,1994,990
6,2358,360,1908,907
5,833,326,1954,833
8,2482,642,2005,1094
8,2098,878,2005,1030
5,899,288,1967,864
9,2324,736,2005,1175
5,894,600,1972,894
6,1575,529,1992,1575
6,848,420,2004,848
7,1690,225,1916,815
5,1475,336,1977,757
6,1362,460,2005,1362
8,1456,400,2003,1273
7,2462,576,2005,1392
6,1796,483,1963,780
5,1472,250,1925,702
7,1604,660,2006,1604
5,1786,529,1965,1499
6,1661,377,1955,992
4,630,286,1970,630
10,2020,900,2009,2006
8,1665,528,2001,810
7,1836,484,2004,1860
5,2372,432,1892,994
5,1301,440,1924,1145
7,1240,826,2006,1240
6,1244,336,1957,1244
8,1795,534,2002,1777
6,1167,400,1992,1158
8,1578,840,2008,1573
8,1908,431,2002,967
6,1198,0,1920,901
8,1976,908,2006,1976
4,1328,210,1925,686
5,1268,252,1977,1268
7,1250,625,2006,625
5,1664,0,1965,0
6,1416,776,1968,708
6,2291,506,1910,1214
7,1710,550,2004,1710
5,616,205,1921,616
5,1050,368,1961,1050
6,1252,564,1960,1602
5,990,480,1994,990
5,1078,240,1950,1078
6,2087,444,1966,832
6,1429,572,1960,1144
5,1812,672,1900,360
6,1138,264,1958,588
5,1484,487,1971,1484
7,1557,420,2003,1374
4,1196,440,1916,1196
5,864,624,1958,864
5,1056,260,1954,1056
8,2526,844,1994,1165
7,1145,397,2005,1145
5,1092,288,1962,1092
5,1432,360,1910,264
6,1392,458,1957,1392
6,1456,390,2005,728
5,1053,312,1959,1053
6,3395,0,1914,1440
5,1287,576,1959,1063
5,778,924,1940,740
6,1092,264,1971,525
4,747,528,1926,600
7,1733,433,2003,847
8,1646,870,2006,1638
7,2149,670,2003,1434
5,1582,390,1964,1624
8,1742,424,1882,916
4,1040,648,1963,1064
5,912,275,1958,912
8,2198,836,2000,1145
5,1680,528,1976,1680
8,3447,1014,1935,728
5,1316,484,1929,926
5,2601,621,1921,612
5,1365,440,1970,765
7,1258,648,2006,1258
8,1574,824,2006,1574
5,1096,299,1969,1096
6,987,264,1973,483
7,1708,380,2004,976
7,3493,870,1880,1470
8,1752,492,1988,559
7,2036,513,1965,2136
5,1344,240,1936,896
5,1109,288,1971,372
6,1470,388,1997,794
5,952,840,1951,952
6,1680,540,1988,880
6,1516,472,1964,1516
8,1734,928,2007,1734
8,1502,528,1985,1488
7,1626,474,2003,764
6,1469,216,1906,756
7,1550,438,2006,1092
7,1368,474,2005,1368
9,2596,840,2006,1249
5,1339,294,1958,1029
7,1839,486,1998,1195
8,2452,691,2004,1117
7,1509,393,2003,783
7,1434,527,2001,1454
6,1294,496,1991,1278
6,1680,308,1915,840
6,1721,471,1994,928
4,864,576,1972,864
7,1501,440,1999,744
5,2337,560,1900,662
7,1872,604,1988,1845
7,1530,630,2004,1530
6,1484,0,1914,742
4,630,286,1970,630
6,1200,312,1923,1200
6,2872,619,1977,1330
6,1445,645,1964,1127
6,1116,440,1962,1116
7,2090,577,1984,1190
5,943,600,1979,943
6,1608,216,1925,976
4,1296,516,1967,0
5,840,0,1930,672
7,1978,486,1968,832
7,999,588,1961,944
6,958,440,1976,958
8,2727,440,1932,853
5,1167,495,1920,915
6,1851,440,1964,822
6,1252,528,1959,1252
4,912,0,1947,0
5,1040,576,1996,1040
6,1525,440,2000,756
8,2452,683,1998,1028
8,3228,546,1992,3200
7,1166,400,2005,856
6,1846,315,1949,1040
5,1074,495,1975,1056
7,2344,889,1996,1264
5,893,576,1949,845
6,1493,508,1997,1478
8,1968,680,2009,774
6,1004,480,1970,1004
5,1456,280,1948,810
6,1635,440,1923,1065
6,1458,330,1948,912
6,1224,402,1999,1224
7,1506,440,2005,1362
5,2136,528,1951,2136
7,1416,484,1999,696
10,2633,804,2001,2633
8,1468,898,2008,1468
5,773,240,1953,773
5,1302,280,1971,630
5,900,576,1951,900
6,904,180,1926,884
6,1844,540,1969,1844
7,1555,430,2005,1373
5,1297,498,1954,1297
4,1529,240,1945,0
3,1733,452,1955,0
6,1710,506,1993,832
6,1868,477,1984,585
5,1126,484,1977,1126
7,1102,480,2004,551
6,1913,342,1928,896
8,1567,648,2006,1520
5,1050,338,1956,1050
8,1580,830,2007,1580
8,1314,552,2009,1300
6,2792,520,1920,1510
6,1688,603,1997,616
6,1232,516,1984,1232
6,1229,462,1980,561
3,1699,420,1900,978
4,936,576,1953,936
7,1948,434,2004,847
9,2224,738,2004,1462
5,2002,871,1949,1001
6,1993,495,1971,825
7,1861,492,2002,916
5,1041,270,1959,1041
6,986,180,1926,960
7,1405,478,2003,1405
7,1226,740,2009,1226
6,838,275,1918,816
3,864,200,1914,864
5,1006,0,1959,1006
9,1842,894,1981,1842
8,1710,866,2007,1710
8,2263,420,1998,1141
4,2290,560,1885,777
4,1100,312,1960,1100
6,2117,550,1970,1205
4,960,288,1956,672
7,1774,468,1931,952
6,1082,240,1948,1082
5,1122,528,1948,924
8,1338,582,2001,1338
6,1756,422,1996,872
6,1302,309,1964,1302
4,951,327,1936,951
6,987,264,1973,483
5,1090,450,2005,1090
5,1604,660,1941,984
6,1512,440,2000,756
6,1577,312,1939,972
7,2167,518,1974,1192
6,1212,492,1977,506
5,969,440,1975,969
6,1072,525,2005,547
8,1518,588,2003,1518
5,1188,312,1962,1188
7,1958,936,2005,1026
6,1069,440,1977,1069
8,1788,522,2001,1753
5,2414,520,1900,954
3,720,287,1949,0
6,1261,433,1958,1261
5,875,180,1931,715
5,672,240,1940,672
6,980,0,1975,945
3,1214,936,1915,672
5,1486,480,1964,1486
6,1660,240,1934,715
7,1217,497,1990,1188
7,1564,234,1941,704
7,1490,388,2004,788
8,3194,380,1934,965
7,1501,577,1999,1490
7,1320,400,2003,660
8,2612,676,1998,1225
8,3112,795,1918,1360
4,2230,440,1912,795
7,2022,505,1977,1160
7,2263,539,1977,795
7,1632,462,1998,935
8,1288,500,1996,1260
6,1080,288,1958,1080
6,1700,544,2003,1682
6,1310,398,1924,617
4,1067,436,1950,1067
6,1928,440,1910,1020
7,2784,564,1978,1392
7,2097,583,1998,1108
6,816,432,1930,816
6,1953,501,1992,1580
8,1659,499,2000,1501
5,1779,454,1955,1763
7,1248,438,2005,1248
7,1929,650,2001,1057
6,1262,460,1976,1262
7,2696,792,2007,1264
5,894,336,1965,894
6,1912,672,1905,482
5,965,300,1965,828
6,1824,0,1971,912
8,1787,748,2001,1753
4,1440,0,1955,1440
6,1252,288,1950,1032
8,1987,691,1994,1986
4,1181,588,1972,1138
6,1792,451,2000,936
5,864,0,1922,864
5,1128,525,1963,1120
8,1959,1025,2006,1088
6,1839,442,1966,756
5,904,408,1966,876
5,1040,484,1977,1040
6,918,264,1979,918
6,1520,364,1955,1156
7,1411,544,1977,1386
6,2058,396,1917,735
6,2201,432,1966,697
7,1656,397,2003,746
7,1494,514,1998,1482
6,1564,476,1980,650
6,981,576,1971,981
6,1502,180,1923,602
5,1092,299,1957,1092
5,1520,281,1932,793
5,1320,564,1966,1164
8,1836,862,2004,1836
7,1889,308,1910,925
5,1130,720,1920,1120
7,2398,834,1996,1379
6,1991,432,1932,854
9,1838,765,2006,1838
6,1352,299,1969,663
7,1720,527,1996,1720
6,1716,490,1962,858
5,999,264,1962,999
6,1470,420,1993,680
4,1132,451,2005,1132
6,1674,396,1918,1163
6,1337,511,1998,1405
7,1349,539,2000,1349
5,1148,672,1959,1148
6,1683,440,1978,918
4,1344,0,1970,546
5,1696,349,1962,1140
5,882,294,1959,0
7,1895,409,1994,712
5,894,308,1962,894
5,1812,264,1962,864
7,1714,496,1988,980
6,1114,576,2003,1114
7,1689,954,2007,1689
5,1376,240,1941,768
8,2704,538,1972,1952
8,1872,531,2001,1299
5,858,0,1958,858
4,864,660,1970,864
9,1668,702,2002,1626
5,835,366,1920,458
5,1128,286,1954,936
6,1639,240,1936,1064
5,1214,461,1965,1214
6,1556,441,1968,727
7,1364,484,2005,1364
7,2236,642,1997,964
6,1004,504,1977,975
4,1121,440,2003,1121
5,1721,440,1968,1461
7,1316,440,2007,1316
6,1324,440,1965,1088
8,1360,565,1984,1220
6,1194,312,1959,1194
9,1856,834,2010,1856
5,900,280,1967,882
5,1134,240,1940,756
6,1961,560,2001,804
5,816,816,1982,816
5,894,450,1968,894
4,1092,286,1973,546
6,1094,495,1953,1094
6,1811,470,1956,1073
4,1294,0,1900,0
7,2034,645,1997,1057
6,1253,352,1960,1253
7,2514,693,1990,1216
5,1154,480,1966,1154
6,1456,429,2006,728
6,1800,463,2000,982
5,1656,180,1916,660
8,2365,856,1999,1252
7,1436,484,2004,1436
6,1062,539,1976,1029
5,1466,566,1936,796
5,1155,576,1961,1109
7,1536,532,2002,1536
5,971,300,1969,971
6,1003,588,1984,1003
7,1504,478,1996,1504
5,1920,400,1948,928
7,1242,528,1973,1242
7,2340,252,1941,1152
7,1661,598,1998,1649
6,1113,504,1976,1143
4,1230,305,1946,747
6,1279,473,1977,1196
9,2668,726,2003,1572
4,1208,539,1925,780
7,1310,400,2005,1310
8,2576,666,2006,1234
5,936,672,1980,936
6,1647,216,1915,806
7,1220,632,2006,1199
5,882,461,1972,882
5,1302,440,1970,630
7,1442,500,1990,1424
9,1561,556,2005,1561
6,1204,412,1998,1204
7,1378,360,1928,689
6,848,420,2004,848
7,1525,541,2000,1525
5,1235,480,1961,1235
6,1412,432,2006,616
5,2240,528,1979,0
7,2295,590,1992,1095
8,1668,502,2003,1657
7,1614,865,2005,1614
5,866,0,1945,686
7,1494,840,2006,1494
7,1432,432,2004,716
8,1904,736,2005,1058
6,1125,352,1976,1041
6,1072,525,2005,547
5,1867,303,1955,1617
6,1482,400,1925,672
8,2376,853,2005,1158
5,1048,420,1950,0
7,1820,492,1965,864
7,1200,480,2005,600
9,2018,746,2008,2002
5,996,0,1940,996
6,848,420,2003,848
7,1761,578,2007,874
5,1057,576,1962,1057
8,1593,682,2001,1593
7,1382,490,2000,673
7,1391,530,2004,1391
5,1363,288,1951,1008
7,1459,527,2002,1459
8,1652,499,2000,1494
6,1026,576,1978,940
7,2640,864,1880,1240
6,1640,520,2004,798
7,1108,280,1930,637
4,693,0,1941,693
5,1203,352,1950,709
5,1572,995,1963,1572
7,1560,573,2003,1560
6,1958,492,1946,979
5,894,384,1966,894
8,1269,430,2004,1256
7,1428,554,2008,1417
8,1932,774,2008,1932
9,1684,564,2005,1684
8,3279,841,2003,1650
4,816,288,1938,816
7,2157,487,1966,924
6,1682,523,1998,804
5,698,0,1947,698
5,1687,572,1948,747
6,1224,528,2009,612
5,1728,352,1964,1728
6,1141,484,2005,1141
7,1277,526,1970,1277
4,1123,264,1939,732
8,2524,542,1981,2524
6,1314,440,2006,1314
4,1981,576,1928,1122
5,864,572,1955,864
7,1426,216,1918,912
7,1555,660,2007,1373
